ticker,name
AMJ,JP Morgan Alerian MLP Index ETN
AMLP,Alerian MLP ETF
ASHR,Xtrackers Harvest CSI 300 China A-Shares ETF
DIA,SPDR Dow Jones Ind Av ETF Trust
DUST,Direxion Daily Gold Miners Index Bear 3X Shares
DXJ,Wisdom JPN Hedged EQ Fund
EEM,iShares MSCI Emerging Markets Index
EFA,iShares MSCI EAFE Index Fund
EPI,Wisdom Tree India Earnings Fund
EWG,iShares MSCI Germany ETF
EWI,iShares MSCI Italy ETF
EWJ,iShares MSCI Japan Index Fund
EWU,iShares MSCI United Kingdom ETF
EWW,iShares MSCI Mexico Capped ETF
EWY,iShares MSCI South Korea Index Fund ETF
EWZ,iShares MSCI Brazil Capped ETF
FEZ,SPDR Euro Stoxx 50 ETF
FTK,FLOTEK INDUSTRIES INC
FXE,Currency Shares Euro Trust
FXI,Ishares FTSE/Xinhua China Index Fund
FXY,Currency Shares Japanese Yen Trust
GDX,VanEck Vectors Gold Miners ETF
GDXJ,VanEck Vectors Junior Gold Miners ETF
GLD,SPDR Gold Trust
GREK,GLOBAL X FTSE GREECE 20 ETF
HEDJ,WisdomTree Intl. HDGD EQTY
HYG,iShares iBoxx High Yield Corp. Bd. ETF
IAU,iShares Gold Trust
IBB,iShares Nasdaq Biotechnology ETF
IEF,ISHARES 7-10 YEAR TREASURY BOND ETF
ITB,iShares US Home Construction ETF
IWM,iShares Russell 2000 Index Fund
IYR,iShares DJ US Real Estate Index Fund
KRE,SPDR S&P Mortgage Finance ETF
MDY,SPDR S&P MidCap 400 ETF Trust
OIH,VanEck Vectors Oil Services ETF
QQQ,Power Shares QQQ Trust
RSX,VanEck Vectors Russia ETF
SCO,ProShares UltraShort DJ-AIG Crude Oil
SDS,Proshares Ultra Short S&P 500
SHY,iShares 1-3 Year Treasury Bond ETF
SLV,iShares Silver Trust
SMH,VanEck Vectors Semiconductor ETF
SPY,SPDR S&P 500 ETF
SSO,Pro Shares Trust Ultra S&P 500
TBT,Proshares Ultrashort Barclays 20+ Yr. Treasury
TLT,iShares Trust Barclays 20+ Yr. Treasury Bond Fd.
TQQQ,Proshares UltraPro QQQ
UCO,Proshares Ultra DJ-AIG Crude Oil
UNG,United States Natural Gas Fund
UPRO,Proshares UltrPro S&P 500
USO,United States Oil Fund
UUP,Power Shares DB US Dollar Bullish
XBI,SPDR (R) Biotech ETF
XHB,SPDR S&P Homebuilders ETF
XLB,Materials Select Sector SPDR
XLE,Energy Sector SPDR
XLF,Financial Select Sector SPDR
XLI,Industrial Sector SPDR
XLK,Technology Sector SPDR
XLP,Consumer Staples Sector SPDR
XLU,Utilities Sector SPDR
XLV,HEALTH CARE SELECT SECTOR SPDR
XLY,Consumer Discretionary Select Sector SPDR
XME,SPDR S&P Metals & Mining ETF
XOP,P Oil & Gas Exploration & Production ETF
XRT,SPDR S&P Oil & Gas Exploration & Production ETF