underlying,upx,type,expiration,data_date,strike,bid,ask,implied_vol,delta,dly_opt_pnl,dly_dh_pnl
SPY,266.5299987792969,call,2018-01-19,2017-12-15,270,1.1399999856948853,1.159999966621399,0.06825748463234359,0.32834409581290697,-0.019999980926513672,0
SPY,268.2300109863281,call,2018-01-19,2017-12-18,270,1.6799999475479126,1.690000057220459,0.07144978936143782,0.4213530629987781,-0.5300000905990601,0.5581889709885802
SPY,267.25,call,2018-01-19,2017-12-19,270,1.3899999856948853,1.409999966621399,0.0748411613480768,0.36580792050176264,0.28000009059906006,-0.41293063086180914
SPY,267.1000061035156,call,2018-01-19,2017-12-20,270,1.100000023841858,1.1100000143051147,0.07091134719534822,0.3270575053844241,0.2999999523162842,-0.054868955360905865
SPY,267.5400085449219,call,2018-01-19,2017-12-21,270,1.309999942779541,1.3200000524520874,0.07218261056021208,0.37211300142336773,-0.21000003814697266,0.14390610084938435
SPY,267.489990234375,call,2018-01-19,2017-12-22,270,1.1200000047683716,1.149999976158142,0.07127398441404409,0.3453090626933152,0.1700000762939453,-0.018612463663723745
SPY,267.1499938964844,call,2018-01-19,2017-12-26,270,1,1.0199999809265137,0.06986235195426986,0.32918141931612205,0.12999999523162842,-0.1174038167561714
SPY,267.3500061035156,call,2018-01-19,2017-12-27,270,0.9399999976158142,0.9800000190734863,0.0676847478434045,0.3320350957178872,0.039999961853027344,0.06584030219109692
SPY,267.8599853515625,call,2018-01-19,2017-12-28,270,0.8500000238418579,0.8700000047683716,0.06527373517779966,0.32256841799703695,0.11000001430511475,0.1693310084393803
SPY,266.94000244140625,call,2018-01-19,2017-12-29,270,0.44999998807907104,0.46000000834465027,0.06763098254465522,0.200448638460616,0.4099999964237213,-0.29675743191341175
SPY,268.7699890136719,call,2018-01-19,2018-01-02,270,0.9599999785423279,0.9800000190734863,0.06335009697159678,0.3785149969771054,-0.5200000107288361,0.36681831681185423
SPY,270.4700012207031,call,2018-01-19,2018-01-03,270,1.850000023841858,1.8700000047683716,0.06675063159852625,0.5727431102975684,-0.8899999856948853,0.6434801154054759
SPY,271.57000732421875,call,2018-01-19,2018-01-04,270,2.5799999237060547,2.609999895095825,0.07356598411365171,0.6709926499937582,-0.7399998903274536,0.6300209170738481
SPY,273.3999938964844,call,2018-01-19,2018-01-05,270,3.9100000858306885,3.9600000381469727,0.08349369655585394,0.7895659829502326,-1.3500001430511475,1.2279075395775059
SPY,273.9100036621094,call,2018-01-19,2018-01-08,270,4.289999961853027,4.429999828338623,0.08005776677936692,0.8542283370213429,-0.4699997901916504,0.4026863619099209
SPY,274.5299987792969,call,2018-01-19,2018-01-09,270,4.679999828338623,4.860000133514404,0.08660381659155734,0.8768121890493359,-0.43000030517578125,0.5296173979164308
SPY,274.0799865722656,call,2018-01-19,2018-01-10,270,4.460000038146973,4.599999904632568,0.08838673730221978,0.8782769667145631,0.26000022888183594,-0.39457618834599323
SPY,276.0899963378906,call,2018-01-19,2018-01-11,270,6.190000057220459,6.340000152587891,0.10211626765131371,0.9426316490467525,-1.7400002479553223,1.7653452800197749
SPY,277.94000244140625,call,2018-01-19,2018-01-12,270,8.100000381469727,8.199999809265137,0.12513769010634299,0.9701170312865128,-1.859999656677246,1.7438743041034905
SPY,277.05999755859375,call,2018-01-19,2018-01-16,270,7.369999885559082,7.570000171661377,0.13225127432781392,0.9704205806106355,0.6299996376037598,-0.8537077244316981
SPY,279.6099853515625,call,2018-01-19,2018-01-17,270,9.430000305175781,9.630000114440918,0.18075420379766738,0.9844826900592034,-2.059999942779541,2.4745606346027675
SPY,279.17999267578125,call,2018-01-19,2018-01-18,270,9.199999809265137,9.270000457763672,0.2445462871001968,0.9855836231309453,0.3599996566772461,-0.42332034615887987
SPY,280.3900146484375,call,2018-01-19,2018-01-19,270,10.3900146484375,10.3900146484375,0,1,-1.1200141906738281,1.1925778398786004
SPY,280.3900146484375,call,2018-02-16,2018-01-19,284,1.2699999809265137,1.2899999618530273,0.08003431100945023,0.31620075112869145,-0.019999980926513672,0
SPY,282.6700134277344,call,2018-02-16,2018-01-22,284,2.2200000286102295,2.25,0.08392556226304483,0.4568860080074165,-0.9600000381469727,0.7209373265861715
SPY,283.239990234375,call,2018-02-16,2018-01-23,284,2.430000066757202,2.450000047683716,0.08756072329791874,0.478846638000529,-0.20000004768371582,0.2604144278428503
SPY,283.1199951171875,call,2018-02-16,2018-01-24,284,2.549999952316284,2.559999942779541,0.09470413960126041,0.4779401989027554,-0.1099998950958252,-0.05745925844171387
SPY,283.29998779296875,call,2018-02-16,2018-01-25,284,2.569999933242798,2.5899999141693115,0.09607975171215581,0.48573151287359767,-0.029999971389770508,0.08602573526392979
SPY,286.55999755859375,call,2018-02-16,2018-01-26,284,4.420000076293945,4.5,0.10086917537976285,0.6624585869141031,-1.9100000858306885,1.5834894754397337
SPY,284.6400146484375,call,2018-02-16,2018-01-29,284,3.740000009536743,3.799999952316284,0.11857248248909295,0.5620069312176444,0.7000000476837158,-1.2719091655613368
SPY,281.6300048828125,call,2018-02-16,2018-01-30,284,2.2200000286102295,2.2300000190734863,0.11855316842107903,0.41189788209462846,1.5699999332427979,-1.6916463513140474
SPY,281.9100036621094,call,2018-02-16,2018-01-31,284,1.9500000476837158,1.9700000286102295,0.11081993257239715,0.40596500795238183,0.25999999046325684,0.11533090418146412
SPY,281.67999267578125,call,2018-02-16,2018-02-01,284,1.7300000190734863,1.75,0.11115197929305942,0.38458028147070983,0.2200000286102295,-0.09337641189383246
SPY,275.510009765625,call,2018-02-16,2018-02-02,284,0.33000001311302185,0.3499999940395355,0.11819265909700154,0.10952427450478697,1.4000000059604645,-2.37285376425736
SPY,264.1099853515625,call,2018-02-16,2018-02-05,284,0.1599999964237213,0.2199999988079071,0.23231182180615728,0.041246245578341334,0.12999999523162842,-1.2485794032870545
SPY,269.05999755859375,call,2018-02-16,2018-02-06,284,0.46000000834465027,0.47999998927116394,0.2277892716968473,0.09368050984014076,-0.25999999046325684,0.20416941910699832
SPY,267.6700134277344,call,2018-02-16,2018-02-07,284,0.07999999821186066,0.10000000149011612,0.1876771058629953,0.02832307570412912,0.3799999877810478,-0.13021442204861117
SPY,257.7699890136719,call,2018-02-16,2018-02-08,284,0.03999999910593033,0.05999999865889549,0.2654185336844421,0.013613069338825945,0.04000000283122063,-0.28039914095221874
SPY,261.739990234375,call,2018-02-16,2018-02-09,284,0.029999999329447746,0.05999999865889549,0.25534116622544495,0.013752976606296763,0,0.05404390189265528
SPY,265.32000732421875,call,2018-02-16,2018-02-12,284,0.019999999552965164,0.03999999910593033,0.23629684360311484,0.01118399847042445,0.019999999552965164,0.04923589128676371
SPY,266.04998779296875,call,2018-02-16,2018-02-13,284,0.009999999776482582,0.019999999552965164,0.2410029571511057,0.006652566149096761,0.019999999552965164,0.008164100445939723
SPY,269.6700134277344,call,2018-02-16,2018-02-14,284,0,0.009999999776482582,0.21323039611921624,0.0032317032553783043,0.009999999776482582,0.024082459996704313
SPY,272.92999267578125,call,2018-02-16,2018-02-15,284,0,0.009999999776482582,0.23633298112599763,0.003993973505941051,0,0.010535285548378803
SPY,273.1600036621094,call,2018-02-16,2018-02-16,284,0,0,0,0,0.009999999776482582,9.186577854699005e-4
SPY,273.1600036621094,call,2018-03-16,2018-02-16,278,1.9500000476837158,1.9800000190734863,0.13368582670449364,0.3110987618390808,-0.029999971389770508,0
SPY,271.44000244140625,call,2018-03-16,2018-02-20,278,1.2799999713897705,1.2899999618530273,0.1302430486167946,0.2364147595027173,0.690000057220459,-0.5350902501224497
SPY,269.9700012207031,call,2018-03-16,2018-02-21,278,0.8899999856948853,0.9100000262260437,0.13067837669084253,0.1833910057036507,0.37999993562698364,-0.3475299850612301
SPY,270.260009765625,call,2018-03-16,2018-02-22,278,0.8399999737739563,0.8600000143051147,0.12117896141941072,0.18974320415649037,0.050000011920928955,0.053184958715875016
SPY,274.6499938964844,call,2018-03-16,2018-02-23,278,1.5800000429153442,1.590000033378601,0.11400046850309681,0.32319301410247736,-0.7300000190734863,0.8329696551854033
SPY,277.9100036621094,call,2018-03-16,2018-02-26,278,3.0399999618530273,3.059999942779541,0.12151235304461187,0.49303098172695486,-1.46999990940094,1.0536123821558545
SPY,274.3800048828125,call,2018-03-16,2018-02-27,278,1.809999942779541,1.8300000429153442,0.13224328388686238,0.33812073578858237,1.2299998998641968,-1.7403987636516907
SPY,271.4100036621094,call,2018-03-16,2018-02-28,278,0.8199999928474426,0.8299999833106995,0.12911294804716242,0.19683852007091573,1.0000000596046448,-1.0042189980371286
SPY,267.7200012207031,call,2018-03-16,2018-03-01,278,0.3700000047683716,0.38999998569488525,0.14148249796407347,0.10224078235615935,0.4399999976158142,-0.7263346196244722
SPY,269.1000061035156,call,2018-03-16,2018-03-02,278,0.3100000023841858,0.33000001311302185,0.13007132629914359,0.09842073872771251,0.0599999725818634,0.14109277887407
SPY,272.1199951171875,call,2018-03-16,2018-03-05,278,0.550000011920929,0.5699999928474426,0.12761209420958095,0.1634747028586414,-0.23999997973442078,0.2972295496751618
SPY,272.8299865722656,call,2018-03-16,2018-03-06,278,0.5400000214576721,0.550000011920929,0.12371622207721333,0.17135973429259388,0.019999980926513672,0.11606564215107093
SPY,272.8299865722656,call,2018-03-16,2018-03-07,278,0.3700000047683716,0.3799999952316284,0.1198919769107205,0.1372810711444883,0.17000001668930054,0
SPY,274.0299987792969,call,2018-03-16,2018-03-08,278,0.550000011920929,0.5600000023841858,0.1207378729518125,0.1975610235947451,-0.18000000715255737,0.16473896116771145
SPY,278.760009765625,call,2018-03-16,2018-03-09,278,1.9500000476837158,1.9700000286102295,0.12674946948499652,0.5003459919544666,-1.4100000262260437,0.9344658120733742
SPY,278.5400085449219,call,2018-03-16,2018-03-12,278,1.7999999523162842,1.840000033378601,0.13268898693424577,0.4974966251859787,0.12999999523162842,-0.11007672900389862
SPY,276.7200012207031,call,2018-03-16,2018-03-13,278,0.7099999785423279,0.7200000286102295,0.1192227517185921,0.31154733799954065,1.1200000047683716,-0.9054475016125915
SPY,275.25,call,2018-03-16,2018-03-14,278,0.20999999344348907,0.2199999988079071,0.1328624123046497,0.13236054462596036,0.5000000298023224,-0.45797496716613384
SPY,275.0299987792969,call,2018-03-16,2018-03-15,278,0.019999999552965164,0.029999999329447746,0.10857324369413998,0.03387450593386926,0.18999999947845936,-0.02911948139064173
SPY,274.2200012207031,call,2018-03-16,2018-03-16,278,0,0,0,0,0.029999999329447746,-0.0274382671050036
SPY,274.2200012207031,call,2018-04-20,2018-03-16,280,1.5700000524520874,1.590000033378601,0.10236708570871851,0.2935834563209589,-0.019999980926513672,0
SPY,270.6099853515625,call,2018-04-20,2018-03-19,280,0.8399999737739563,0.8600000143051147,0.11246845661898058,0.17428169515551772,0.7300000190734863,-1.0598409362358152
SPY,270.92999267578125,call,2018-04-20,2018-03-20,280,0.8399999737739563,0.8500000238418579,0.11075598584172636,0.17839675237167296,0.009999990463256836,0.05577141892702511
SPY,270.3999938964844,call,2018-04-20,2018-03-21,280,0.6700000166893005,0.6899999976158142,0.109236474343716,0.1547133168208516,0.1600000262260437,-0.09455006098751356
SPY,263.7099914550781,call,2018-04-20,2018-03-22,280,0.25999999046325684,0.2800000011920929,0.1332040211966363,0.06352702177965852,0.4099999964237213,-1.0350324672495559
SPY,258.0150146484375,call,2018-04-20,2018-03-23,280,0.11999999731779099,0.14000000059604645,0.15191240842853754,0.03135108304900103,0.14000000059604645,-0.3617849156301091
SPY,265.1400146484375,call,2018-04-20,2018-03-26,280,0.33000001311302185,0.3400000035762787,0.13978218908490866,0.07631390718943559,-0.20000000298023224,0.2233764667241323
SPY,260.760009765625,call,2018-04-20,2018-03-27,280,0.17000000178813934,0.1899999976158142,0.1526815628993207,0.04314941236558012,0.15000000596046448,-0.33425528611622785
SPY,259.8500061035156,call,2018-04-20,2018-03-28,280,0.18000000715255737,0.1899999976158142,0.16731530997058328,0.04211186378552939,0,-0.03926612327054546
SPY,263.42999267578125,call,2018-04-20,2018-03-29,280,0.23999999463558197,0.25,0.15597265789530915,0.05793307099491796,-0.06000000238418579,0.15075990688527427
SPY,257.5199890136719,call,2018-04-20,2018-04-02,280,0.07000000029802322,0.09000000357627869,0.1726843824944317,0.020949173122849774,0.1599999964237213,-0.34238466173720755
SPY,260.7300109863281,call,2018-04-20,2018-04-03,280,0.05999999865889549,0.07000000029802322,0.15145891683200832,0.019950114676594355,0.020000003278255463,0.06724730603332753
SPY,263.7799987792969,call,2018-04-20,2018-04-04,280,0.10999999940395355,0.12999999523162842,0.1484922728561242,0.035717873597737315,-0.059999994933605194,0.06084760623193949
SPY,265.5899963378906,call,2018-04-20,2018-04-05,280,0.10000000149011612,0.10999999940395355,0.13563340248717018,0.03549056542698775,0.019999995827674866,0.0646492640100647
SPY,259.70001220703125,call,2018-04-20,2018-04-06,280,0.05000000074505806,0.07000000029802322,0.1755810177448505,0.018364275109733097,0.03999999910593033,-0.20903886716018424
SPY,260.8299865722656,call,2018-04-20,2018-04-09,280,0.029999999329447746,0.03999999910593033,0.16539928584578384,0.012472517201017386,0.030000001192092896,0.02075116011011009
SPY,265.0899963378906,call,2018-04-20,2018-04-10,280,0.07000000029802322,0.07999999821186066,0.1580165622634282,0.026627658650650865,-0.03999999910593033,0.053133045078259854
SPY,263.7099914550781,call,2018-04-20,2018-04-11,280,0.03999999910593033,0.05000000074505806,0.1672140191469194,0.01714280469838586,0.029999997466802597,-0.0367462989557627
SPY,265.9002990722656,call,2018-04-20,2018-04-12,280,0.029999999329447746,0.03999999910593033,0.1540892746586761,0.01565254859730708,0.010000001639127731,0.03754801571083222
SPY,265.1099853515625,call,2018-04-20,2018-04-13,280,0.009999999776482582,0.029999999329447746,0.16377828010013876,0.009748180066814494,0.009999999776482582,-0.012370423920424239
SPY,267.3699951171875,call,2018-04-20,2018-04-16,280,0.019999999552965164,0.029999999329447746,0.16137657182868423,0.013236953410993846,0,0.02203098214807172
SPY,270.1300048828125,call,2018-04-20,2018-04-17,280,0.019999999552965164,0.029999999329447746,0.1509822162073747,0.01582340957373002,0,0.03653412068146617
SPY,270.3699951171875,call,2018-04-20,2018-04-18,280,0,0.009999999776482582,0.14848346413336655,0.004478132350034636,0.019999999552965164,0.003797463772211086
SPY,268.8699951171875,call,2018-04-20,2018-04-19,280,0,0.009999999776482582,0.2441489289141674,0.0039284893190245085,0,-0.006717198525051954
SPY,266.6600036621094,call,2018-04-20,2018-04-20,280,0,0,0,0,0.009999999776482582,-0.008681927826409846
SPY,266.6600036621094,call,2018-05-18,2018-04-20,272,1.7100000381469727,1.7300000190734863,0.1204949554769241,0.30315053892224203,-0.019999980926513672,0
SPY,266.57000732421875,call,2018-05-18,2018-04-23,272,1.5700000524520874,1.590000033378601,0.11657243200324456,0.29702197297078475,0.13999998569488525,-0.02728243833257116
SPY,263.0400085449219,call,2018-05-18,2018-04-24,272,0.8399999737739563,0.8700000047683716,0.12545407718768056,0.18087557445791758,0.7200000286102295,-1.0484872020112195
SPY,263.6300048828125,call,2018-05-18,2018-04-25,272,0.9800000190734863,0.9900000095367432,0.1290474809678119,0.20184354705447277,-0.12000000476837158,0.10671592654403445
SPY,266.239990234375,call,2018-05-18,2018-04-26,272,1.4700000286102295,1.4900000095367432,0.1222248162115371,0.29100730106667816,-0.5,0.5268087011195901
SPY,266.5799865722656,call,2018-05-18,2018-04-27,272,1.159999966621399,1.1699999570846558,0.11403419626925185,0.2623428894418678,0.3200000524520874,0.09894141666210514
SPY,264.5299987792969,call,2018-05-18,2018-04-30,272,0.5299999713897705,0.5400000214576721,0.11110268822057766,0.15063630889369561,0.6299999356269836,-0.5377997209279793
SPY,264.9599914550781,call,2018-05-18,2018-05-01,272,0.5600000023841858,0.5699999928474426,0.10932763414277197,0.16373045484214105,-0.029999971389770508,0.06477250953101109
SPY,263.1700134277344,call,2018-05-18,2018-05-02,272,0.27000001072883606,0.2800000011920929,0.1138232660250534,0.09142840903203503,0.28999999165534973,-0.29307391657443055
SPY,262.5899963378906,call,2018-05-18,2018-05-03,272,0.20000000298023224,0.20999999344348907,0.11046477090754288,0.07592062603381766,0.07000000774860382,-0.05303003973580499
SPY,265.9200134277344,call,2018-05-18,2018-05-04,272,0.4300000071525574,0.4399999976158142,0.10506402720665305,0.1517616530227942,-0.23000000417232513,0.25281698216424914
SPY,266.9200134277344,call,2018-05-18,2018-05-07,272,0.5,0.5099999904632568,0.10398745148353865,0.1791375274998961,-0.06999999284744263,0.1517616530227942
SPY,266.8900146484375,call,2018-05-18,2018-05-08,272,0.38999998569488525,0.4000000059604645,0.10305399011684263,0.15550631467779158,0.10999998450279236,-0.005373907151257259
SPY,269.4700012207031,call,2018-05-18,2018-05-09,272,0.8299999833106995,0.8399999737739563,0.09730212115953707,0.30253295540489933,-0.4399999678134918,0.40120420377121513
SPY,272,call,2018-05-18,2018-05-10,272,1.6699999570846558,1.690000057220459,0.1009957004252182,0.5010379245076311,-0.8500000834465027,0.7654080078714712
SPY,272.6400146484375,call,2018-05-18,2018-05-11,272,1.8899999856948853,1.909999966621399,0.09741247782932175,0.5829346597603464,-0.21999990940093994,0.32067161110760617
SPY,272.95001220703125,call,2018-05-18,2018-05-14,272,1.7400000095367432,1.7599999904632568,0.09401031540785344,0.6048608331480136,0.1499999761581421,0.1807083213453857
SPY,271.0299987792969,call,2018-05-18,2018-05-15,272,0.8700000047683716,0.8799999952316284,0.1070197029028648,0.3934196408542603,0.8799999952316284,-1.1613409215547876
SPY,272.1499938964844,call,2018-05-18,2018-05-16,272,1.1100000143051147,1.1200000047683716,0.09939854679545056,0.5501379596161129,-0.24000000953674316,0.44062807676243143
SPY,272.010009765625,call,2018-05-18,2018-05-17,272,0.5899999737739563,0.6000000238418579,0.08948969011682605,0.4922783637017551,0.5199999809265137,-0.07701058412961151
SPY,271.3399963378906,call,2018-05-18,2018-05-18,272,0,0,0,0,0.6000000238418579,-0.32983311386328223
SPY,271.3399963378906,call,2018-06-15,2018-05-18,275,1.4600000381469727,1.4700000286102295,0.10070615246457915,0.3090878522460353,-0.009999990463256836,0
SPY,273.3599853515625,call,2018-06-15,2018-05-21,275,2.0999999046325684,2.130000114440918,0.10211918548444433,0.40314606573429734,-0.6600000858306885,0.624354065796427
SPY,272.5799865722656,call,2018-06-15,2018-05-22,275,1.7200000286102295,1.7300000190734863,0.10147203273971021,0.3587695421774099,0.40000009536743164,-0.31445343915108964
SPY,273.3699951171875,call,2018-06-15,2018-05-23,275,1.7899999618530273,1.7999999523162842,0.09781006365025131,0.3858745830951119,-0.06999993324279785,0.28343100397786286
SPY,272.8399963378906,call,2018-06-15,2018-05-24,275,1.440000057220459,1.4500000476837158,0.09398838947393787,0.3485650407409952,0.34999990463256836,-0.20451305800209987
SPY,272.2099914550781,call,2018-06-15,2018-05-25,275,1.1399999856948853,1.159999966621399,0.0951485091926454,0.3006596730711985,0.2900000810623169,-0.21959767764456498
SPY,269.1199951171875,call,2018-06-15,2018-05-29,275,0.6499999761581421,0.6700000166893005,0.10911349315805809,0.18375720206053814,0.4899999499320984,-0.9290372887413959
SPY,272.5899963378906,call,2018-06-15,2018-05-30,275,1.25,1.2699999809265137,0.10219508523982203,0.3224214739819373,-0.5999999642372131,0.6376377154630581
SPY,270.80999755859375,call,2018-06-15,2018-05-31,275,0.6899999976158142,0.699999988079071,0.10044042377344699,0.21661623792942758,0.5699999928474426,-0.5739098301069476
SPY,273.6099853515625,call,2018-06-15,2018-06-01,275,1.3700000047683716,1.409999966621399,0.10155656664186725,0.3697228525313128,-0.7099999785423279,0.6065228219612115
SPY,274.8900146484375,call,2018-06-15,2018-06-04,275,1.809999942779541,1.8200000524520874,0.10228682765822301,0.4560841180234016,-0.4100000858306885,0.4732560829642757
SPY,275.19000244140625,call,2018-06-15,2018-06-05,275,1.9299999475479126,1.9700000286102295,0.10470839069171473,0.4885545144272534,-0.1499999761581421,0.13681966797393913
SPY,277.42999267578125,call,2018-06-15,2018-06-06,275,3.25,3.299999952316284,0.118158212466645,0.6431211607491769,-1.3299999237060547,1.0943573412768677
SPY,277.3699951171875,call,2018-06-15,2018-06-07,275,3.440000057220459,3.5,0.1291733160629984,0.6591329723209333,-0.20000004768371582,-0.038585699524929254
SPY,278.2200012207031,call,2018-06-15,2018-06-08,275,3.7100000381469727,3.75,0.13963814912079073,0.6890631480922196,-0.25,0.5602670495011888
SPY,278.5799865722656,call,2018-06-15,2018-06-11,275,3.8499999046325684,3.9200000762939453,0.15647952431705098,0.7024840247388053,-0.1700000762939453,0.24805263961474067
SPY,278.9700012207031,call,2018-06-15,2018-06-12,275,3.950000047683716,4.079999923706055,0.17098088678748352,0.733142633246213,-0.15999984741210938,0.2739790599414652
SPY,278.010009765625,call,2018-06-15,2018-06-13,275,3.2200000286102295,3.25,0.183239586745906,0.7041889547454128,0.8299999237060547,-0.7038106632698401
SPY,278.67999267578125,call,2018-06-15,2018-06-14,275,3.6600000858306885,3.930000066757202,0.27869098603455233,0.7346066401115601,-0.6800000667572021,0.47179456520021945
SPY,277.0299987792969,call,2018-06-15,2018-06-15,275,2.029998779296875,2.029998779296875,0,1,1.9000012874603271,-1.212096472500968
SPY,277.0299987792969,call,2018-07-20,2018-06-15,281,1.4800000190734863,1.5099999904632568,0.08284847082281578,0.32616607411198034,-0.029999971389770508,0
SPY,276.5899963378906,call,2018-07-20,2018-06-18,281,1.2100000381469727,1.2200000286102295,0.08011540355513268,0.2918798800245435,0.28999996185302734,-0.14351386891316323
SPY,275.4800109863281,call,2018-07-20,2018-06-19,281,0.8600000143051147,0.8799999952316284,0.08270833444559515,0.22581073747714486,0.3400000333786011,-0.3239823912430633
